image,voxel volume,voxel size,image volume,image size
00000FLAIR,0.1499997,"[0.5, 0.5999988, 0.5]",1386.597162425518,"(256.0, 239.99950885772705, 256.0)"
00000T1w,1.0988672,"[0.4688, 0.4688, 5.0]",787.8877665996552,"(240.02560424804688, 240.02560424804688, 165.0)"
00000T1wCE,0.5,"[0.5, 2.0, 0.5]",394.0,"(256.0, 258.0, 256.0)"
00000T2w,0.125,"[0.5, 0.5, 0.5]",2128.125,"(204.0, 256.0, 256.0)"
00002FLAIR,0.5,"[2.0, 0.5, 0.5]",1131.0,"(258.0, 256.0, 256.0)"
00002T1w,1.0988674,"[0.46879986, 0.4688001, 5.0000014]",893.3792095184326,"(240.02552795410156, 240.02565002441406, 155.0000443458557)"
00002T1wCE,0.5,"[0.5, 2.0, 0.5]",404.0,"(256.0, 258.0, 256.0)"
00002T2w,0.125,"[0.5, 0.5, 0.5]",1359.375,"(192.0, 256.0, 256.0)"
00003FLAIR,0.5,"[2.0, 0.5, 0.5]",1007.0,"(258.0, 256.0, 256.0)"
00003T1w,1.0988677,"[0.46880025, 0.4687999, 5.0000005]",975.7944774627686,"(240.02572631835938, 240.02554321289062, 165.00001573562622)"
00003T1wCE,0.5,"[0.5, 2.0, 0.5]",368.0,"(256.0, 258.0, 256.0)"
00003T2w,0.12499958,"[0.49999848, 0.50000006, 0.4999998]",1843.993844985962,"(203.99937987327576, 256.0000305175781, 255.99989318847656)"
00005FLAIR,0.15000021,"[0.50000006, 0.60000104, 0.4999998]",827.1011831760406,"(256.0000305175781, 240.00041484832764, 255.99989318847656)"
00005T1w,1.0988674,"[0.4687999, 0.46880004, 5.0000014]",619.7612228393555,"(240.02554321289062, 240.02561950683594, 140.0000400543213)"
00005T1wCE,0.5,"[0.5, 2.0, 0.5]",344.5,"(256.0, 258.0, 256.0)"
00005T2w,0.125,"[0.49999997, 0.5, 0.50000006]",1416.375,"(211.9999873638153, 256.0, 256.0000305175781)"
00006FLAIR,0.5,"[0.5, 0.5, 2.0]",1214.5,"(256.0, 256.0, 258.0)"
00006T1w,1.0988672,"[0.4688, 0.4688, 5.0]",938.4325699806213,"(240.02560424804688, 240.02560424804688, 160.0)"
00006T1wCE,0.5,"[0.5, 2.0, 0.5]",569.0,"(256.0, 258.0, 256.0)"
00006T2w,0.124999836,"[0.49999928, 0.50000006, 0.5]",2970.371104940772,"(203.99970817565918, 256.0000305175781, 256.0)"
00008FLAIR,0.24999979,"[0.9999992, 0.5000001, 0.49999985]",1189.4990074038506,"(167.9998698234558, 256.00006103515625, 255.9999237060547)"
00008T1w,1.0089043,"[0.44919994, 0.4491998, 5.0000086]",619.4672634601593,"(229.99037170410156, 229.99029541015625, 150.00025749206543)"
00008T1wCE,0.18464154,"[0.42969993, 0.42969978, 0.99999774]",461.04992550611496,"(220.00636291503906, 220.00628662109375, 149.99966025352478)"
00008T2w,0.9999997,"[0.9999998, 1.0000002, 0.9999997]",1096.9996730685234,"(167.99996995925903, 256.00006103515625, 255.9999237060547)"
00009FLAIR,0.17500001,"[0.6999998, 0.5, 0.5000002]",3127.6002130508423,"(167.9999542236328, 256.0, 256.0000915527344)"
00009T1w,1.0988656,"[0.46879998, 0.46879998, 4.9999933]",1936.201236963272,"(240.0255889892578, 240.0255889892578, 159.99978637695312)"
00009T1wCE,0.14999998,"[0.4999998, 0.6000002, 0.49999994]",687.4498907327652,"(255.99989318847656, 216.0000729560852, 255.99996948242188)"
00009T2w,0.17500052,"[0.7000021, 0.5, 0.5]",3652.085821837187,"(201.6005973815918, 256.0, 256.0)"
00011FLAIR,0.5,"[2.0, 0.5, 0.5]",882.5,"(258.0, 256.0, 256.0)"
00011T1w,1.098867,"[0.46880016, 0.46879983, 4.9999995]",971.3984799385071,"(240.0256805419922, 240.0255126953125, 164.99998426437378)"
00011T1wCE,0.5,"[0.5, 2.0, 0.5]",387.5,"(256.0, 258.0, 256.0)"
00011T2w,0.5,"[0.5, 0.5, 2.0]",1314.0,"(256.0, 256.0, 258.0)"
00012FLAIR,0.14999971,"[0.49999997, 0.5999989, 0.5]",1752.8965869545937,"(255.99998474121094, 239.99955654144287, 256.0)"
00012T1w,1.0988673,"[0.4688001, 0.46880004, 4.999999]",1282.3781358003616,"(240.02565002441406, 240.02561950683594, 154.9999704360962)"
