image,voxel volume,voxel size,image volume,image size
BraTS2021_00000flair,1,"[1.0, 1.0, 1.0]",1480170,"(240.0, 240.0, 155.0)"
BraTS2021_00000t1,1,"[1.0, 1.0, 1.0]",1480170,"(240.0, 240.0, 155.0)"
BraTS2021_00000t1ce,1,"[1.0, 1.0, 1.0]",1480170,"(240.0, 240.0, 155.0)"
BraTS2021_00000t2,1,"[1.0, 1.0, 1.0]",1480169,"(240.0, 240.0, 155.0)"
BraTS2021_00002flair,1,"[1.0, 1.0, 1.0]",1392388,"(240.0, 240.0, 155.0)"
BraTS2021_00002t1,1,"[1.0, 1.0, 1.0]",1392388,"(240.0, 240.0, 155.0)"
BraTS2021_00002t1ce,1,"[1.0, 1.0, 1.0]",1392388,"(240.0, 240.0, 155.0)"
BraTS2021_00002t2,1,"[1.0, 1.0, 1.0]",1392388,"(240.0, 240.0, 155.0)"
BraTS2021_00003flair,1,"[1.0, 1.0, 1.0]",1617269,"(240.0, 240.0, 155.0)"
BraTS2021_00003t1,1,"[1.0, 1.0, 1.0]",1617269,"(240.0, 240.0, 155.0)"
BraTS2021_00003t1ce,1,"[1.0, 1.0, 1.0]",1617269,"(240.0, 240.0, 155.0)"
BraTS2021_00003t2,1,"[1.0, 1.0, 1.0]",1617267,"(240.0, 240.0, 155.0)"
BraTS2021_00005flair,1,"[1.0, 1.0, 1.0]",1293736,"(240.0, 240.0, 155.0)"
BraTS2021_00005t1,1,"[1.0, 1.0, 1.0]",1292510,"(240.0, 240.0, 155.0)"
BraTS2021_00005t1ce,1,"[1.0, 1.0, 1.0]",1293736,"(240.0, 240.0, 155.0)"
BraTS2021_00005t2,1,"[1.0, 1.0, 1.0]",1293736,"(240.0, 240.0, 155.0)"
BraTS2021_00006flair,1,"[1.0, 1.0, 1.0]",1519600,"(240.0, 240.0, 155.0)"
BraTS2021_00006t1,1,"[1.0, 1.0, 1.0]",1519600,"(240.0, 240.0, 155.0)"
BraTS2021_00006t1ce,1,"[1.0, 1.0, 1.0]",1519600,"(240.0, 240.0, 155.0)"
BraTS2021_00006t2,1,"[1.0, 1.0, 1.0]",1519597,"(240.0, 240.0, 155.0)"
BraTS2021_00008flair,1,"[1.0, 1.0, 1.0]",1432101,"(240.0, 240.0, 155.0)"
BraTS2021_00008t1,1,"[1.0, 1.0, 1.0]",1432101,"(240.0, 240.0, 155.0)"
BraTS2021_00008t1ce,1,"[1.0, 1.0, 1.0]",1432101,"(240.0, 240.0, 155.0)"
BraTS2021_00008t2,1,"[1.0, 1.0, 1.0]",1432101,"(240.0, 240.0, 155.0)"
BraTS2021_00009flair,1,"[1.0, 1.0, 1.0]",1418669,"(240.0, 240.0, 155.0)"
BraTS2021_00009t1,1,"[1.0, 1.0, 1.0]",1418669,"(240.0, 240.0, 155.0)"
BraTS2021_00009t1ce,1,"[1.0, 1.0, 1.0]",1418669,"(240.0, 240.0, 155.0)"
BraTS2021_00009t2,1,"[1.0, 1.0, 1.0]",1418669,"(240.0, 240.0, 155.0)"
BraTS2021_00011flair,1,"[1.0, 1.0, 1.0]",1429805,"(240.0, 240.0, 155.0)"
BraTS2021_00011t1,1,"[1.0, 1.0, 1.0]",1429805,"(240.0, 240.0, 155.0)"
BraTS2021_00011t1ce,1,"[1.0, 1.0, 1.0]",1429805,"(240.0, 240.0, 155.0)"
BraTS2021_00011t2,1,"[1.0, 1.0, 1.0]",1429805,"(240.0, 240.0, 155.0)"
BraTS2021_00012flair,1,"[1.0, 1.0, 1.0]",1631346,"(240.0, 240.0, 155.0)"
BraTS2021_00012t1,1,"[1.0, 1.0, 1.0]",1631346,"(240.0, 240.0, 155.0)"
BraTS2021_00012t1ce,1,"[1.0, 1.0, 1.0]",1631346,"(240.0, 240.0, 155.0)"
BraTS2021_00012t2,1,"[1.0, 1.0, 1.0]",1631346,"(240.0, 240.0, 155.0)"
BraTS2021_00014flair,1,"[1.0, 1.0, 1.0]",1413415,"(240.0, 240.0, 155.0)"
BraTS2021_00014t1,1,"[1.0, 1.0, 1.0]",1413415,"(240.0, 240.0, 155.0)"
BraTS2021_00014t1ce,1,"[1.0, 1.0, 1.0]",1413415,"(240.0, 240.0, 155.0)"
BraTS2021_00014t2,1,"[1.0, 1.0, 1.0]",1413415,"(240.0, 240.0, 155.0)"
BraTS2021_00016flair,1,"[1.0, 1.0, 1.0]",1395046,"(240.0, 240.0, 155.0)"
BraTS2021_00016t1,1,"[1.0, 1.0, 1.0]",1395046,"(240.0, 240.0, 155.0)"
BraTS2021_00016t1ce,1,"[1.0, 1.0, 1.0]",1395046,"(240.0, 240.0, 155.0)"
BraTS2021_00016t2,1,"[1.0, 1.0, 1.0]",1395046,"(240.0, 240.0, 155.0)"
BraTS2021_00017flair,1,"[1.0, 1.0, 1.0]",1577287,"(240.0, 240.0, 155.0)"
BraTS2021_00017t1,1,"[1.0, 1.0, 1.0]",1577287,"(240.0, 240.0, 155.0)"
BraTS2021_00017t1ce,1,"[1.0, 1.0, 1.0]",1577287,"(240.0, 240.0, 155.0)"
BraTS2021_00017t2,1,"[1.0, 1.0, 1.0]",1577287,"(240.0, 240.0, 155.0)"
BraTS2021_00018flair,1,"[1.0, 1.0, 1.0]",1478815,"(240.0, 240.0, 155.0)"
BraTS2021_00018t1,1,"[1.0, 1.0, 1.0]",1478815,"(240.0, 240.0, 155.0)"
BraTS2021_00018t1ce,1,"[1.0, 1.0, 1.0]",1478815,"(240.0, 240.0, 155.0)"
BraTS2021_00018t2,1,"[1.0, 1.0, 1.0]",1478815,"(240.0, 240.0, 155.0)"
BraTS2021_00019flair,1,"[1.0, 1.0, 1.0]",1616059,"(240.0, 240.0, 155.0)"
BraTS2021_00019t1,1,"[1.0, 1.0, 1.0]",1616059,"(240.0, 240.0, 155.0)"
BraTS2021_00019t1ce,1,"[1.0, 1.0, 1.0]",1616059,"(240.0, 240.0, 155.0)"
BraTS2021_00019t2,1,"[1.0, 1.0, 1.0]",1616059,"(240.0, 240.0, 155.0)"
BraTS2021_00020flair,1,"[1.0, 1.0, 1.0]",1582293,"(240.0, 240.0, 155.0)"
BraTS2021_00020t1,1,"[1.0, 1.0, 1.0]",1582293,"(240.0, 240.0, 155.0)"
BraTS2021_00020t1ce,1,"[1.0, 1.0, 1.0]",1582293,"(240.0, 240.0, 155.0)"
BraTS2021_00020t2,1,"[1.0, 1.0, 1.0]",1582292,"(240.0, 240.0, 155.0)"
BraTS2021_00021flair,1,"[1.0, 1.0, 1.0]",1449609,"(240.0, 240.0, 155.0)"
BraTS2021_00021t1,1,"[1.0, 1.0, 1.0]",1449609,"(240.0, 240.0, 155.0)"
BraTS2021_00021t1ce,1,"[1.0, 1.0, 1.0]",1449609,"(240.0, 240.0, 155.0)"
BraTS2021_00021t2,1,"[1.0, 1.0, 1.0]",1449609,"(240.0, 240.0, 155.0)"
BraTS2021_00022flair,1,"[1.0, 1.0, 1.0]",1321767,"(240.0, 240.0, 155.0)"
BraTS2021_00022t1,1,"[1.0, 1.0, 1.0]",1320308,"(240.0, 240.0, 155.0)"
BraTS2021_00022t1ce,1,"[1.0, 1.0, 1.0]",1321767,"(240.0, 240.0, 155.0)"
BraTS2021_00022t2,1,"[1.0, 1.0, 1.0]",1321767,"(240.0, 240.0, 155.0)"
BraTS2021_00024flair,1,"[1.0, 1.0, 1.0]",1660360,"(240.0, 240.0, 155.0)"
BraTS2021_00024t1,1,"[1.0, 1.0, 1.0]",1660360,"(240.0, 240.0, 155.0)"
BraTS2021_00024t1ce,1,"[1.0, 1.0, 1.0]",1660360,"(240.0, 240.0, 155.0)"
BraTS2021_00024t2,1,"[1.0, 1.0, 1.0]",1660360,"(240.0, 240.0, 155.0)"
BraTS2021_00025flair,1,"[1.0, 1.0, 1.0]",1624168,"(240.0, 240.0, 155.0)"
BraTS2021_00025t1,1,"[1.0, 1.0, 1.0]",1624168,"(240.0, 240.0, 155.0)"
BraTS2021_00025t1ce,1,"[1.0, 1.0, 1.0]",1624168,"(240.0, 240.0, 155.0)"
BraTS2021_00025t2,1,"[1.0, 1.0, 1.0]",1624168,"(240.0, 240.0, 155.0)"
BraTS2021_00026flair,1,"[1.0, 1.0, 1.0]",1747773,"(240.0, 240.0, 155.0)"
BraTS2021_00026t1,1,"[1.0, 1.0, 1.0]",1747773,"(240.0, 240.0, 155.0)"
BraTS2021_00026t1ce,1,"[1.0, 1.0, 1.0]",1747773,"(240.0, 240.0, 155.0)"
BraTS2021_00026t2,1,"[1.0, 1.0, 1.0]",1747773,"(240.0, 240.0, 155.0)"
BraTS2021_00028flair,1,"[1.0, 1.0, 1.0]",1384775,"(240.0, 240.0, 155.0)"
BraTS2021_00028t1,1,"[1.0, 1.0, 1.0]",1384775,"(240.0, 240.0, 155.0)"
BraTS2021_00028t1ce,1,"[1.0, 1.0, 1.0]",1384775,"(240.0, 240.0, 155.0)"
BraTS2021_00028t2,1,"[1.0, 1.0, 1.0]",1384775,"(240.0, 240.0, 155.0)"
BraTS2021_00030flair,1,"[1.0, 1.0, 1.0]",1655460,"(240.0, 240.0, 155.0)"
BraTS2021_00030t1,1,"[1.0, 1.0, 1.0]",1655317,"(240.0, 240.0, 155.0)"
BraTS2021_00030t1ce,1,"[1.0, 1.0, 1.0]",1655460,"(240.0, 240.0, 155.0)"
BraTS2021_00030t2,1,"[1.0, 1.0, 1.0]",1655460,"(240.0, 240.0, 155.0)"
BraTS2021_00031flair,1,"[1.0, 1.0, 1.0]",1523097,"(240.0, 240.0, 155.0)"
BraTS2021_00031t1,1,"[1.0, 1.0, 1.0]",1523097,"(240.0, 240.0, 155.0)"
BraTS2021_00031t1ce,1,"[1.0, 1.0, 1.0]",1523097,"(240.0, 240.0, 155.0)"
BraTS2021_00031t2,1,"[1.0, 1.0, 1.0]",1523097,"(240.0, 240.0, 155.0)"
BraTS2021_00032flair,1,"[1.0, 1.0, 1.0]",1633698,"(240.0, 240.0, 155.0)"
BraTS2021_00032t1,1,"[1.0, 1.0, 1.0]",1633698,"(240.0, 240.0, 155.0)"
BraTS2021_00032t1ce,1,"[1.0, 1.0, 1.0]",1633698,"(240.0, 240.0, 155.0)"
BraTS2021_00032t2,1,"[1.0, 1.0, 1.0]",1633698,"(240.0, 240.0, 155.0)"
BraTS2021_00033flair,1,"[1.0, 1.0, 1.0]",1504647,"(240.0, 240.0, 155.0)"
BraTS2021_00033t1,1,"[1.0, 1.0, 1.0]",1504647,"(240.0, 240.0, 155.0)"
BraTS2021_00033t1ce,1,"[1.0, 1.0, 1.0]",1504647,"(240.0, 240.0, 155.0)"
BraTS2021_00033t2,1,"[1.0, 1.0, 1.0]",1504645,"(240.0, 240.0, 155.0)"
BraTS2021_00035flair,1,"[1.0, 1.0, 1.0]",1300184,"(240.0, 240.0, 155.0)"
BraTS2021_00035t1,1,"[1.0, 1.0, 1.0]",1300069,"(240.0, 240.0, 155.0)"
BraTS2021_00035t1ce,1,"[1.0, 1.0, 1.0]",1300184,"(240.0, 240.0, 155.0)"
BraTS2021_00035t2,1,"[1.0, 1.0, 1.0]",1300184,"(240.0, 240.0, 155.0)"
BraTS2021_00036flair,1,"[1.0, 1.0, 1.0]",1807270,"(240.0, 240.0, 155.0)"
BraTS2021_00036t1,1,"[1.0, 1.0, 1.0]",1807270,"(240.0, 240.0, 155.0)"
BraTS2021_00036t1ce,1,"[1.0, 1.0, 1.0]",1807270,"(240.0, 240.0, 155.0)"
BraTS2021_00036t2,1,"[1.0, 1.0, 1.0]",1807269,"(240.0, 240.0, 155.0)"
BraTS2021_00043flair,1,"[1.0, 1.0, 1.0]",1522733,"(240.0, 240.0, 155.0)"
BraTS2021_00043t1,1,"[1.0, 1.0, 1.0]",1522733,"(240.0, 240.0, 155.0)"
BraTS2021_00043t1ce,1,"[1.0, 1.0, 1.0]",1522731,"(240.0, 240.0, 155.0)"
BraTS2021_00043t2,1,"[1.0, 1.0, 1.0]",1522733,"(240.0, 240.0, 155.0)"
BraTS2021_00044flair,1,"[1.0, 1.0, 1.0]",1440835,"(240.0, 240.0, 155.0)"
BraTS2021_00044t1,1,"[1.0, 1.0, 1.0]",1440836,"(240.0, 240.0, 155.0)"
BraTS2021_00044t1ce,1,"[1.0, 1.0, 1.0]",1440836,"(240.0, 240.0, 155.0)"
BraTS2021_00044t2,1,"[1.0, 1.0, 1.0]",1440835,"(240.0, 240.0, 155.0)"
BraTS2021_00045flair,1,"[1.0, 1.0, 1.0]",1709622,"(240.0, 240.0, 155.0)"
BraTS2021_00045t1,1,"[1.0, 1.0, 1.0]",1709622,"(240.0, 240.0, 155.0)"
BraTS2021_00045t1ce,1,"[1.0, 1.0, 1.0]",1709622,"(240.0, 240.0, 155.0)"
BraTS2021_00045t2,1,"[1.0, 1.0, 1.0]",1709622,"(240.0, 240.0, 155.0)"
BraTS2021_00046flair,1,"[1.0, 1.0, 1.0]",1332379,"(240.0, 240.0, 155.0)"
BraTS2021_00046t1,1,"[1.0, 1.0, 1.0]",1332379,"(240.0, 240.0, 155.0)"
BraTS2021_00046t1ce,1,"[1.0, 1.0, 1.0]",1332379,"(240.0, 240.0, 155.0)"
BraTS2021_00046t2,1,"[1.0, 1.0, 1.0]",1332378,"(240.0, 240.0, 155.0)"
BraTS2021_00048flair,1,"[1.0, 1.0, 1.0]",1727405,"(240.0, 240.0, 155.0)"
